quarter,gdp_growth,inflation,unemployment,real_gdp,nominal_gdp,personal_tax,corporate_tax,exports,imports,debt_to_gdp,interest_rate,pcpi,transfer_payments_ratio,federal_expenditures,personal_tax_rates,corporate_tax_rates,government_transfer_payments,federal_surplus,trade_balance,simulation_type
2027Q2,2.3237383539226264,339.97696427565813,4.039646122098212,24715.533683849953,32516.2537105573,3428.662332520811,1639.1433167414543,3801.7251308895425,4950.424637463251,31577.032646701544,2.9869338849365223,339.97696427565813,0.158002607514334,538.75800790127,0.3377388889956102,0.36418092872161845,5051.4487205715095,-544.8471206426702,-1148.6995065737087,RL-FRB/US Agent without Tariff
2027Q3,2.300606840994684,342.32194950542345,3.9653439157606325,24858.095077603128,32863.77528008638,3491.0416300778575,1651.0571735597898,3883.5802096582315,5012.202015541519,31714.936675562712,3.0560111809934956,342.32194950542345,0.158002607514334,544.1549690712702,0.3377388889956102,0.36418092872161845,5103.042511692779,-510.7556625497591,-1128.6218058832878,RL-FRB/US Agent without Tariff
2027Q4,2.263350835552469,344.6854268506313,3.8995416146218562,24999.15024866077,33213.82019915861,3551.406777192434,1663.1352206037127,3966.9608902968575,5071.767947778583,31844.45062924324,3.1271303302591202,344.6854268506313,0.158002607514334,549.2059532912701,0.3377388889956102,0.36418092872161845,5154.228160794037,-479.6813101153896,-1104.8070574817257,RL-FRB/US Agent without Tariff
2028Q1,2.3698125199284825,347.0629418053056,3.845162345852896,25147.698100411337,33576.98574429109,3610.062666453105,1677.278236492321,4052.8362159494304,5126.9850114473265,31966.077113422318,3.1945906258257377,347.0629418053056,0.158002607514334,553.9642215512702,0.3377388889956102,0.36418092872161845,5207.166240771662,-450.4684599235975,-1074.1487954978961,RL-FRB/US Agent without Tariff
2028Q2,2.2745204929044904,349.45765105944184,3.80064356432165,25291.102821947876,33936.49345646613,3661.1139652406832,1690.650982508164,4138.114783449987,5182.437542522727,32082.6142884312,3.25702198309816,349.45765105944184,0.158002607514334,558.5424699212701,0.3377388889956102,0.36418092872161845,5259.857161682452,-431.619166576266,-1044.3227590727402,RL-FRB/US Agent without Tariff
2028Q3,2.135928647699328,351.8710064170126,3.768325650490866,25426.514013630167,34288.0087237863,3710.5102204745735,1702.3175849866038,4224.445782113706,5236.641061260339,32349.87539458778,3.3164784867724206,351.8710064170126,0.158002607514334,997.5599871263801,0.3377388889956102,0.36418092872161845,5312.703615615719,-989.8559488830974,-1012.1952791466329,RL-FRB/US Agent without Tariff
2028Q4,2.023589319189258,354.3035913665196,3.744929728212521,25555.47199148915,34634.246843107,3799.734573447221,1713.1925670682112,4313.230939843159,5288.473753886162,32496.3042144289,3.3707702208536308,354.3035913665196,0.158002607514334,693.4882577174451,0.3377388889956102,0.36418092872161845,5366.254266865918,-542.3289623867632,-975.2428140430029,RL-FRB/US Agent without Tariff
2029Q1,2.012738600290839,356.7556600038689,3.719807233335109,25684.38727284154,34983.46689288709,3854.7234250363667,1724.9233453007562,4404.621525570223,5340.568204209497,32639.707816874743,3.421071279956246,356.7556600038689,0.158002607514334,697.5632930274451,0.3377388889956102,0.36418092872161845,5420.592333332988,-531.124453225327,-935.9466786392741,RL-FRB/US Agent without Tariff
2029Q2,1.986668771767105,359.2277015161707,3.6961133585051575,25812.270512272917,35333.72956339883,3906.4166528325086,1736.9845808597656,4498.959492797736,5394.9881232893085,32781.413657093006,3.4673000625117263,359.2277015161707,0.158002607514334,701.4978153474451,0.3377388889956102,0.36418092872161845,5475.567225708366,-524.8364455478835,-896.0286304915726,RL-FRB/US Agent without Tariff
2029Q3,1.973186950956332,361.72008675588864,3.6736624719950117,25939.916177680487,35686.18034376151,3954.6078681538997,1749.6963109414273,4596.726248147369,5451.056887048588,32922.60113081467,3.5096932230573397,361.72008675588864,0.158002607514334,705.3060447574451,0.3377388889956102,0.36418092872161845,5531.076128197048,-522.9165690288935,-854.3306389012187,RL-FRB/US Agent without Tariff
2029Q4,1.934923525460234,364.2332124425612,3.6556141352370344,26065.699544130093,36038.707724994456,3998.9124226176464,1762.5907427724992,4698.085948681907,5508.559335697831,33100.4545008241,3.547659155869495,364.2332124425612,0.158002607514334,806.6107825882934,0.3377388889956102,0.36418092872161845,5586.8813601949705,-658.7161852350134,-810.4733870159234,RL-FRB/US Agent without Tariff
