quarter,gdp_growth,inflation,unemployment,real_gdp,nominal_gdp,personal_tax,corporate_tax,personal_tax_rates,corporate_tax_rates,exports,imports,trade_balance,net_foreign_investment_income,debt_to_gdp,interest_rate,transfer_payments_ratio,federal_expenditures,government_transfer_payments,federal_surplus,ten_year_treasury_bond_rate,simulation_type
2010Q4,2.0425837820155834,216.54295832391753,9.608218769010875,16796.349068450647,14935.310687210282,1357.1487728395416,237.23494895981008,0.14490102325719845,0.1463421877482971,1924.3701938442496,2435.9717376813505,-386.79703171965195,214.91458312892254,9971.216992073178,0.189365079365079,0.127116456090714,963.2478429471897,2147.2821833900666,-1211.9516963201945,2.982057593902772,FRB/US FTPL
2011Q1,-0.9413504579214308,218.84034805191288,9.105208097721016,16756.867417043493,14975.357199776552,1474.7364994767634,232.41402584668393,0.14340688081560335,0.14378402820240171,1989.954533955689,2546.2986059295945,-460.4353152858453,224.25212463180685,10202.813674292911,0.155483870967742,0.127645469268636,939.4273194789083,2155.3927378909693,-1173.269047381039,3.5481506059819363,FRB/US FTPL
2011Q2,2.6688182130584437,221.2783558601225,9.136700252612108,16869.043806284386,15173.486303648333,1495.887455974535,229.68524841170236,0.14358047870139987,0.14273280554482606,2062.759645759955,2632.6257974321215,-462.35255642034326,223.880635812223,10306.183926711332,0.09328125,0.128177311804698,935.3552842060834,2155.274579144308,-1201.6962241400238,3.2945267998011643,FRB/US FTPL
2011Q3,-0.18786759740194703,222.70202774479114,9.085966962735856,16861.122799729677,15257.000236181431,1539.7368917308397,204.18716924680535,0.1449919909493556,0.14348225325437086,2101.4415590439476,2657.867322842371,-413.11745717906985,246.99072953144565,10669.838459664135,0.08390625001934231,0.128711919807037,907.4055984806539,2145.593207015122,-1128.0673193087175,2.4983275400613256,FRB/US FTPL
2011Q4,4.376637846991116,223.67377567540981,8.732241658162314,17046.623355490843,15441.635233760448,1544.5088355239895,242.08158207284023,0.14544553657846773,0.14401691135577963,2094.085166743167,2683.6421798395186,-423.32662613734163,261.78869185783503,11030.572724015366,0.075081967213115,0.129249235162612,912.0438571217434,2154.5079100339644,-1104.125356255756,2.110572891219983,FRB/US FTPL
2012Q1,3.2909824687799016,224.9080666550384,8.325819343115134,17187.452239359212,15659.52317861746,1536.4598151486148,265.38994110415643,0.14491401994983005,0.14382140324087078,2132.0631411700565,2721.9640690498823,-439.5633019302836,247.55839997523665,11383.56781870293,0.106290322580645,0.129789203612067,912.0549748889015,2144.084995998011,-1021.2212078915519,2.083406393893855,FRB/US FTPL
2012Q2,1.7358063187074888,225.36023984107618,8.241794629407579,17262.199526074262,15791.401896731464,1554.6936070445897,281.60482684438506,0.14476406173316236,0.14401892643488687,2156.1575746420453,2710.3471477380454,-425.07768813207684,229.54738903864407,11568.678200525734,0.15453125,0.130331774270974,903.3139574768503,2173.9633159375708,-1003.3466858775532,1.8464975859827366,FRB/US FTPL
2012Q3,0.5293981064340872,226.32737414434092,8.08135305101693,17285.06109067846,15898.008007035845,1575.323476971126,291.58536663974854,0.14469942453097337,0.14433398735273223,2167.2030251346246,2680.5680136024757,-381.5920897215367,230.9468808104527,11796.008259706314,0.146190476190476,0.130876897574837,908.1459833347014,2186.0638774242993,-996.1982332535861,1.659942735461414,FRB/US FTPL
2012Q4,0.4309887990288532,227.85532428582766,7.875801308562575,17303.695297094968,15994.590747629552,1635.9956913931778,292.59543227153404,0.14420311252228707,0.14413071091620216,2175.9637571826574,2682.6925618854602,-368.7716209398901,228.72612019974454,12112.631536222,0.160967741935484,0.131424525764301,883.6224494824814,2191.1682761167867,-913.03037541931,1.7112064039827208,FRB/US FTPL
2013Q1,3.9205373667385857,228.71886556396146,7.809225620485528,17474.12863049081,16215.102863844662,1697.5964944920008,309.27254710951695,0.1433203113326645,0.14321263550955068,2193.1770811923047,2684.48007175281,-352.07816292291307,217.53643384904166,12433.982515444335,0.144262295081967,0.131974611924474,856.4140761963474,2203.154445924756,-706.4813438426095,1.9691074622621323,FRB/US FTPL
